round,phase,stock,total_extraction,collapsed,extract_agent_1,extract_agent_2,extract_agent_3,extract_agent_4,sanction_agent_1,sanction_agent_2,sanction_agent_3,sanction_agent_4
13,enforcement_active,46.18334858540102,8.892365839426718,False,2.438617568793299,1.930759554064503,2.4148356499184827,2.1081530666504333,0.8772351375865979,0.0,0.8296712998369653,0.21630613330086668
14,enforcement_active,50.25369057416585,8.361252064644367,False,1.6830834933341752,2.0584874864645775,2.300961186219782,2.318719898625832,0.0,0.11697497292915493,0.6019223724395637,0.6374397972516643
15,enforcement_active,54.853269818747634,8.569703977809251,False,1.9769931532325515,1.7605836013724077,2.3873198156795725,2.4448074075247184,0.0,0.0,0.774639631359145,0.8896148150494367
16,enforcement_active,60.99865319983372,7.787718938311008,False,1.532435780308465,1.721798839183305,2.4017980655155116,2.131686253303727,0.0,0.0,0.8035961310310231,0.26337250660745415
17,enforcement_active,68.31239338932612,7.524325969110631,False,1.6131041768642316,1.6481145800517605,2.0818513268520946,2.181255885342544,0.0,0.0,0.16370265370418924,0.3625117706850878
18,enforcement_active,75.74442624803139,8.310784419047298,False,2.185225282248264,1.5195209900090603,2.2820117309223527,2.324026415867622,0.3704505644965277,0.0,0.5640234618447053,0.6480528317352441
19,enforcement_active,84.40131660296291,7.813527143503387,False,1.6622074844253734,2.050306150800586,2.0543010150503136,2.0467124932271132,0.0,0.1006123016011724,0.10860203010062719,0.09342498645422648
20,enforcement_active,92.74807857084156,8.727429915609603,False,1.907600210415929,2.3370153060532606,2.2166005241546807,2.2662138749857323,0.0,0.6740306121065212,0.43320104830936135,0.5324277499714647
21,enforcement_active,101.48939028180047,8.666655151315387,False,1.6540296535405468,2.482432567264418,2.403897232180965,2.126295698329458,0.0,0.9648651345288357,0.8077944643619297,0.25259139665891617
22,enforcement_active,110.35686823496764,8.628640050862666,False,2.13022060067778,1.680154230892299,2.457803227649521,2.360461991643066,0.2604412013555599,0.0,0.9156064552990424,0.7209239832861316
23,enforcement_active,119.58140621554863,8.087748760055165,False,1.7272837334853546,1.9599865845573459,2.2240035187973226,2.1764749232151415,0.0,0.0,0.4480070375946452,0.35294984643028293
24,enforcement_active,128.03022716485114,8.380173979285415,False,2.0772320619303257,1.7057781313615274,2.438457013480739,2.158706772512823,0.15446412386065145,0.0,0.8769140269614777,0.3174135450256461
25,enforcement_active,136.04376601722595,8.111497286527158,False,1.747908799459228,1.646753647353922,2.30770152004755,2.4091333196664584,0.0,0.0,0.6154030400951003,0.8182666393329168
26,enforcement_withdrawn,129.48394417124905,21.786303975743976,False,1.933516810934119,2.006056810196593,9.173274893128923,8.673455461484341,0.0,0.0,0.0,0.0
27,enforcement_withdrawn,123.04014154983462,22.42252243460111,False,1.5077033682004695,2.233980315801895,9.554782133844048,9.126056616754697,0.0,0.0,0.0,0.0
28,enforcement_withdrawn,117.61615220787534,21.99500512734555,False,2.16139813150224,2.281462761381361,8.747367014215047,8.804777220246901,0.0,0.0,0.0,0.0
29,enforcement_withdrawn,112.94269935606704,21.630377419239014,False,2.2288993425626082,1.8304384908366558,8.848857393010668,8.72218219282908,0.0,0.0,0.0,0.0
30,enforcement_withdrawn,108.17560257322347,21.973948216255877,False,2.0643577831638016,2.134214529521991,9.267481979047325,8.50789392452276,0.0,0.0,0.0,0.0
31,enforcement_withdrawn,103.08855128668523,22.47008045102647,False,1.7442995485463406,2.4063076892490995,8.792143645361053,9.527329567869977,0.0,0.0,0.0,0.0
32,enforcement_withdrawn,97.78658855016593,22.785269225680953,False,2.296072447399987,1.6065957971703124,9.438186152306189,9.444414828804463,0.0,0.0,0.0,0.0
33,enforcement_withdrawn,92.99632571839743,22.28168924883755,False,1.5887907264785486,1.7994235882591925,9.895172495897471,8.99830243820234,0.0,0.0,0.0,0.0
34,enforcement_withdrawn,87.76133672124816,22.649148953624408,False,2.2929177532399487,1.5127681274515075,9.653259014500176,9.190204058432776,0.0,0.0,0.0,0.0
35,enforcement_withdrawn,82.42470353567269,22.574509647586794,False,1.8129189563983772,1.9858669906764423,9.882604484684288,8.893119215827687,0.0,0.0,0.0,0.0
36,enforcement_withdrawn,76.76372593343302,22.620418272073927,False,1.7624735204446007,2.1145373747210283,8.895471841952343,9.847935534955955,0.0,0.0,0.0,0.0
37,enforcement_withdrawn,71.07375741372206,22.245100762841886,False,1.9822799427420934,1.7102978164401708,8.883742094139702,9.66878090951992,0.0,0.0,0.0,0.0
38,enforcement_withdrawn,65.23049587259324,21.878988398348486,False,1.818142622038399,2.204493961315624,8.600012309946978,9.256339505047487,0.0,0.0,0.0,0.0
39,enforcement_withdrawn,59.843794009024634,20.771094633353524,False,1.830203183655811,1.5500508788869403,8.606450019704537,8.784390551106236,0.0,0.0,0.0,0.0
40,enforcement_withdrawn,52.04526592388363,22.476616545859116,False,1.5733608699874204,2.278536741752621,9.721164622767072,8.903554311352002,0.0,0.0,0.0,0.0
41,enforcement_withdrawn,42.40609376869578,23.11477324464353,False,1.6034354543124953,1.7950127454102032,9.79986665987216,9.916458385048672,0.0,0.0,0.0,0.0
42,enforcement_withdrawn,30.79070326668616,23.310538940794164,False,1.6991252953347158,2.234225039655551,9.75458180715673,9.622606798647167,0.0,0.0,0.0,0.0
43,enforcement_withdrawn,17.063800251161684,22.84453119546468,True,2.307639823998857,2.0738955489089683,9.542695327089978,8.920300495466876,0.0,0.0,0.0,0.0
44,enforcement_withdrawn,10.0,12.526577100798068,True,0.8651147742816973,1.2202628108932385,5.5002292330232745,4.940970282599858,0.0,0.0,0.0,0.0
45,enforcement_withdrawn,10.0,3.324999999999999,True,0.326580097979769,0.24899070226538,1.4379916020491033,1.3114375977057466,0.0,0.0,0.0,0.0
